statename|url|website|activity_level|activity_level_label|weekend|season|weeknumber,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|0|Insufficient Data|Jul-30-2016|2015-16|30,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-30-2016|2015-16|30,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-06-2016|2015-16|31,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-13-2016|2015-16|32,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-13-2016|2015-16|32,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-06-2016|2015-16|31,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-13-2016|2015-16|32,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-20-2016|2015-16|33,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-20-2016|2015-16|33,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-27-2016|2015-16|34,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Aug-20-2016|2015-16|33,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-20-2016|2015-16|33,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-27-2016|2015-16|34,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-27-2016|2015-16|34,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Sep-03-2016|2015-16|35,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Sep-03-2016|2015-16|35,,,
Montana|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|Influenza: What You Need to Know|0|Insufficient Data|Sep-03-2016|2015-16|35,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|0|Insufficient Data|Sep-03-2016|2015-16|35,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Sep-03-2016|2015-16|35,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Sep-10-2016|2015-16|36,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Sep-10-2016|2015-16|36,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Sep-10-2016|2015-16|36,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Sep-10-2016|2015-16|36,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Sep-17-2016|2015-16|37,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Sep-17-2016|2015-16|37,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Sep-17-2016|2015-16|37,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Sep-24-2016|2015-16|38,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Sep-17-2016|2015-16|37,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Sep-24-2016|2015-16|38,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Sep-24-2016|2015-16|38,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Oct-01-2016|2015-16|39,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Oct-01-2016|2015-16|39,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Oct-01-2016|2015-16|39,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Oct-08-2016|2016-17|40,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Oct-08-2016|2016-17|40,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Oct-15-2016|2016-17|41,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Oct-15-2016|2016-17|41,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Oct-22-2016|2016-17|42,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Oct-22-2016|2016-17|42,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Oct-29-2016|2016-17|43,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Oct-29-2016|2016-17|43,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Nov-05-2016|2016-17|44,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Nov-05-2016|2016-17|44,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Nov-12-2016|2016-17|45,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Nov-12-2016|2016-17|45,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Nov-19-2016|2016-17|46,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Nov-19-2016|2016-17|46,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Nov-26-2016|2016-17|47,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Nov-26-2016|2016-17|47,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Dec-03-2016|2016-17|48,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Dec-03-2016|2016-17|48,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Dec-10-2016|2016-17|49,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Dec-10-2016|2016-17|49,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Dec-17-2016|2016-17|50,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Dec-17-2016|2016-17|50,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Dec-24-2016|2016-17|51,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Dec-24-2016|2016-17|51,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Dec-31-2016|2016-17|52,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Dec-31-2016|2016-17|52,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-07-2017|2016-17|1,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-07-2017|2016-17|1,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-14-2017|2016-17|2,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-14-2017|2016-17|2,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-21-2017|2016-17|3,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-21-2017|2016-17|3,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jan-28-2017|2016-17|4,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jan-28-2017|2016-17|4,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-04-2017|2016-17|5,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-04-2017|2016-17|5,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-11-2017|2016-17|6,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-11-2017|2016-17|6,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-18-2017|2016-17|7,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-18-2017|2016-17|7,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Feb-25-2017|2016-17|8,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Feb-25-2017|2016-17|8,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-04-2017|2016-17|9,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-04-2017|2016-17|9,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-11-2017|2016-17|10,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-11-2017|2016-17|10,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-18-2017|2016-17|11,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-18-2017|2016-17|11,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Mar-25-2017|2016-17|12,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Mar-25-2017|2016-17|12,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-01-2017|2016-17|13,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-01-2017|2016-17|13,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-08-2017|2016-17|14,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-08-2017|2016-17|14,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-15-2017|2016-17|15,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-15-2017|2016-17|15,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-22-2017|2016-17|16,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-22-2017|2016-17|16,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Apr-29-2017|2016-17|17,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Apr-29-2017|2016-17|17,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-06-2017|2016-17|18,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-06-2017|2016-17|18,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-13-2017|2016-17|19,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-13-2017|2016-17|19,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-20-2017|2016-17|20,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-20-2017|2016-17|20,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-03-2017|2016-17|22,,,
Colorado|https://www.colorado.gov/pacific/cdphe/influenza|Influenza Surveillance|0|Insufficient Data|May-27-2017|2016-17|21,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|May-27-2017|2016-17|21,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|May-27-2017|2016-17|21,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-03-2017|2016-17|22,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-03-2017|2016-17|22,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-10-2017|2016-17|23,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jun-10-2017|2016-17|23,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-10-2017|2016-17|23,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-10-2017|2016-17|23,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-17-2017|2016-17|24,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jun-17-2017|2016-17|24,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-17-2017|2016-17|24,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-17-2017|2016-17|24,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jun-24-2017|2016-17|25,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jun-24-2017|2016-17|25,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jun-24-2017|2016-17|25,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-01-2017|2016-17|26,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jul-01-2017|2016-17|26,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jun-24-2017|2016-17|25,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-01-2017|2016-17|26,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-08-2017|2016-17|27,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jul-08-2017|2016-17|27,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-01-2017|2016-17|26,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Jun-24-2017|2016-17|25,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Jul-08-2017|2016-17|27,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-08-2017|2016-17|27,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-08-2017|2016-17|27,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
Colorado|https://www.colorado.gov/pacific/cdphe/influenza|Influenza Surveillance|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Jul-15-2017|2016-17|28,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Jul-22-2017|2016-17|29,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-22-2017|2016-17|29,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Jul-22-2017|2016-17|29,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-22-2017|2016-17|29,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-22-2017|2016-17|29,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Jul-29-2017|2016-17|30,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Jul-29-2017|2016-17|30,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Jul-29-2017|2016-17|30,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Jul-29-2017|2016-17|30,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Aug-05-2017|2016-17|31,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-05-2017|2016-17|31,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-05-2017|2016-17|31,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Aug-05-2017|2016-17|31,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-12-2017|2016-17|32,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Aug-12-2017|2016-17|32,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-05-2017|2016-17|31,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-12-2017|2016-17|32,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-12-2017|2016-17|32,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-19-2017|2016-17|33,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Aug-19-2017|2016-17|33,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Aug-12-2017|2016-17|32,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-19-2017|2016-17|33,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-19-2017|2016-17|33,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Aug-19-2017|2016-17|33,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Aug-26-2017|2016-17|34,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Aug-26-2017|2016-17|34,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Aug-26-2017|2016-17|34,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Aug-26-2017|2016-17|34,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Aug-26-2017|2016-17|34,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|0|Insufficient Data|Sep-02-2017|2016-17|35,,,
District of Columbia|http://doh.dc.gov/page/influenza-season|Influenza Information|0|Insufficient Data|Sep-02-2017|2016-17|35,,,
Idaho|http://flu.idaho.gov|Influenza|0|Insufficient Data|Sep-02-2017|2016-17|35,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|0|Insufficient Data|Sep-02-2017|2016-17|35,,,
Virgin Islands|http://doh.vi.gov/|Influenza|0|Insufficient Data|Sep-02-2017|2016-17|35,,,
